last_epoch,trainable_parameters,total_parameters,model_size,time_elapsed,log_loss,accuracy,recall,precision,f1_score,AUC,jaccard,matthews_corrcoef,confusion_matrix,optimizer_type,optimizer_kwargs,learning_rate,scheduler,scheduler_kwargs,batch_size,ckpt_path
9,7691778,7691778,30.767111999999997,173.30811375199846,0.5192585956763252,0.7283506968511074,0.6317734617933425,0.692084322211364,0.6605551039987209,0.8062381821992914,0.4931558632764315,0.4361672719903336,"[[43517, 11028], [14447, 24787]]",Adam,{'weight_decay': 0.0001},0.005,,{'monitor': 'val_loss'},512,/home/gwatk/Documents/MVA/DL/NLP_Assemblee/results/lm_model_selection/camembert-base_unfrozen/lightning_logs/epoch=9-step=3060.ckpt
16,6641666,6641666,26.566664,232.66115610100132,0.5335263837624867,0.7201612301261476,0.5679002905643065,0.7057426118906591,0.6293623331685615,0.7962026139558708,0.4591748413156376,0.41501941689854116,"[[45255, 9290], [16953, 22281]]",Adam,{'weight_decay': 0.0001},0.005,,{'monitor': 'val_loss'},512,/home/gwatk/Documents/MVA/DL/NLP_Assemblee/results/lm_model_selection/xlm-roberta-base_unfrozen/lightning_logs/epoch=16-step=5202.ckpt
75,2363906,6641666,26.566664,660.2704644320002,0.5345022033795411,0.719190863626185,0.6021308049141051,0.6877838593222313,0.642113560381615,0.7934085916536433,0.4728772168621642,0.4152087300788908,"[[43821, 10724], [15610, 23624]]",Adam,{'weight_decay': 0.0001},0.005,,{'monitor': 'val_loss'},512,/home/gwatk/Documents/MVA/DL/NLP_Assemblee/results/lm_model_selection/distilbert-base-multilingual-cased/lightning_logs/epoch=75-step=23256.ckpt
12,2363906,6641666,26.566664,154.08182988800036,0.5372973628401242,0.7178152891372269,0.6045776622317378,0.6841847183362658,0.6419225200600788,0.7904588865873046,0.47267002769862304,0.4126877823478799,"[[43596, 10949], [15514, 23720]]",Adam,{'weight_decay': 0.0001},0.005,,{'monitor': 'val_loss'},512,/home/gwatk/Documents/MVA/DL/NLP_Assemblee/results/lm_model_selection/camembert-base_binary/lightning_logs/epoch=12-step=3978.ckpt
15,2363906,6641666,26.566664,149.9187967429989,0.5532818383380911,0.7057550197805479,0.5170005607381353,0.7011891592920354,0.5951703295091105,0.7779311532409956,0.42366013617945614,0.3829232769051428,"[[45901, 8644], [18950, 20284]]",Adam,{'weight_decay': 0.0001},0.005,,{'monitor': 'val_loss'},512,/home/gwatk/Documents/MVA/DL/NLP_Assemblee/results/lm_model_selection/paraphrase-multilingual-mpnet-base-v2/lightning_logs/epoch=15-step=4896.ckpt
27,2363906,6641666,26.566664,278.52765171099963,0.5548499973214523,0.7091246441100886,0.5907886017229954,0.6737689669205279,0.6295561953392363,0.7770660995164373,0.45938125532631746,0.39409823820689444,"[[43322, 11223], [16055, 23179]]",Adam,{'weight_decay': 0.0001},0.005,ReduceLROnPlateau,"{'scheduler': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.1, 'patience': 3, 'interval': 'epoch', 'frequency': 1, 'strict': True, 'monitor': 'val_loss'}",512,/home/gwatk/Documents/MVA/DL/NLP_Assemblee/results/lm_model_selection/xlm-roberta-base/lightning_logs/epoch=27-step=8568.ckpt
17,1479170,3618050,14.472199999999999,184.30678412899942,0.5592984369339344,0.7019055438850915,0.574578171993679,0.6668145650309107,0.6172697526047015,0.7694827462545383,0.446413719355222,0.3781476020708844,"[[43281, 11264], [16691, 22543]]",Adam,{'weight_decay': 0.0001},0.005,,{'monitor': 'val_loss'},512,/home/gwatk/Documents/MVA/DL/NLP_Assemblee/results/lm_model_selection/paraphrase-multilingual-MiniLM-L12-v2/lightning_logs/epoch=17-step=5508.ckpt
18,2363906,6641666,26.566664,316.198521934999,0.5677703393251724,0.6964352360336535,0.5827598511495132,0.6539671643498656,0.6163135479001564,0.7620314563351,0.4454141666017299,0.3682306068310651,"[[42447, 12098], [16370, 22864]]",Adam,{'weight_decay': 0.0001},0.005,,{'monitor': 'val_loss'},512,/home/gwatk/Documents/MVA/DL/NLP_Assemblee/results/lm_model_selection/distilbert-base-multilingual-cased_retest/lightning_logs/epoch=18-step=5814.ckpt
11,1774082,4625922,18.503688,163.1185683779986,0.571187714149951,0.6946544535557001,0.5789111484936534,0.6521664226031527,0.6133592579090209,0.7579140803047159,0.44233465763028745,0.36429213611347466,"[[42431, 12114], [16521, 22713]]",Adam,{'weight_decay': 0.0001},0.005,,{'monitor': 'val_loss'},512,/home/gwatk/Documents/MVA/DL/NLP_Assemblee/results/lm_model_selection/distiluse-base-multilingual-cased-v2/lightning_logs/epoch=11-step=3672.ckpt
49,3414018,7691778,30.767111999999997,494.43374667199896,0.5826776604976673,0.6827754614572559,0.5435336697762145,0.6429971355344489,0.5890965344825205,0.743836685844024,0.4175314249911893,0.3368365262963254,"[[42705, 11840], [17909, 21325]]",Adam,{'weight_decay': 0.0001},0.0005,ReduceLROnPlateau,"{'scheduler': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.1, 'patience': 3, 'interval': 'epoch', 'frequency': 1, 'strict': True, 'monitor': 'val_loss'}",512,/home/gwatk/Documents/MVA/DL/NLP_Assemblee/results/lm_model_selection/bert-base-multilingual-cased/lightning_logs/epoch=49-step=15300.ckpt
